Teabag ID,Initial weight (g),Final weight (g),Tea,notes,,
1-DT,1.9831,1.0903,green,replaced tag,,
1-DT,2.1428,1.8545,roobois,,,
1-FD,1.8544,1.1232,green,,,
1-FD,2.1306,1.6679,roobois,,,
1-IR,2.0365,1.2035,green,,,
1-IR,2.1113,1.8052,roobois,,,
1-R,1.7518,0.8581,green,,,
1-R,2.1122,1.9621,roobois,,,
10-DT,1.8076,1.1001,green,,,
10-DT,2.1671,1.5754,roobois,,,
10-FD,2.0217,1.1565,green,,,
10-FD,2.1002,1.7891,roobois,,,
10-IR,1.8832,1.1649,green,,,
10-IR,2.1429,,roobois,,,
10-R,1.7818,1.0802,green,,,
10-R,2.1241,1.7514,roobois,replaced tag,,
11-DT,1.8902,0.9454,green,ripped,,
11-DT,2.2036,1.846,roobois,replaced tag,,
11-FD,1.8523,1.0726,green,,,
11-FD,2.1152,1.7714,roobois,,,
11-IR,2.0453,1.2015,green,,,
11-IR,2.1333,1.9029,roobois,,,
11-R,1.9116,1.0431,green,,,
11-R,2.1901,1.9045,roobois,,,
12-DT,2.066,1.1401,green,,,
12-DT,2.178,1.9544,roobois,,,
12-FD,1.948,1.1008,green,,,
12-FD,2.116,1.522,roobois,,,
12-IR,1.8602,1.1489,green,,,
12-IR,2.1742,1.6521,roobois,,,
12-R,1.9536,1.0084,green,roots,ripped,
12-R,2.0485,1.8116,roobois,replaced tag,,
13-DT,1.9659,0.9735,green,ripped,,
13-DT,2.0756,1.5697,roobois,,,
13-FD,2.0566,,green,,,
13-FD,2.1356,1.425,roobois,roots ,ripped,
13-IR,1.8571,,green,,,
13-IR,2.1333,,roobois,,,
13-R,1.8528,1.0635,green,replaced tag,,
13-R,2.1665,,roobois,,,
14-DT,1.9417,1.0751,green,,,
14-DT,2.1028,1.8772,roobois,,,
14-FD,1.9069,1.0698,green,,,
14-FD,2.0763,1.7579,roobois,,,
14-IR,1.9274,1.077,green,,,
14-IR,2.1105,1.7744,roobois,,,
14-R,1.9302,1.1033,green,,,
14-R,2.0922,1.8651,roobois,,,
15-DT,1.9702,1.1147,green,,,
15-DT,2.1227,1.7793,roobois,,,
15-FD,1.8463,0.914,green,ripped,,
15-FD,2.1135,1.4017,roobois,ripped,,
15-IR,1.8089,0.9517,green,,,
15-IR,2.0794,1.6674,roobois,replaced tag,,
15-R,1.7859,1.0179,green,,,
15-R,2.1478,1.7501,roobois,,,
16-DT,2.0396,1.0144,green,,,
16-DT,2.1652,,roobois,,,
16-FD,1.8041,0.903,green,replaced tag,,
16-FD,2.1537,,roobois,ripped,,
16-IR,1.9069,1.3085,green,,,
16-IR,2.1549,1.8035,roobois,,,
16-R,1.8865,1.0253,green,,,
16-R,2.2031,1.717,roobois,ripped,,
17-DT,1.9247,,green,,,
17-DT,2.168,,roobois,,,
17-FD,1.9078,1.0295,green,ripped,replaced tag,
17-FD,2.2502,1.8342,roobois,,,
17-IR,1.9576,1.0456,green,,,
17-IR,2.145,NA,roobois,ripped ,,
17-R,1.8619,1.0335,green,replaced tag,0.7171,big rip
17-R,2.1495,1.8429,roobois,labelled twice,1.7941,add to 17DT?
18-DT,1.8566,1.0129,green,replaced tag,,
18-DT,2.1559,1.7709,roobois,,,
18-FD,1.9086,1.005,green,,,
18-FD,2.1333,1.7989,roobois,replaced tag,,
18-IR,1.9394,1.1122,green,,,
18-IR,2.1453,1.8139,roobois,,,
18-R,1.9044,1.0225,green,,,
18-R,2.1688,1.842,roobois,,,
19-DT,1.9531,1.0556,green,roots,,
19-DT,2.1877,1.7738,roobois,,,
19-FD,1.9384,1.0975,green,replaced tag,,
19-FD,2.1645,,roobois,,,
19-IR,1.975,1.0445,green,replaced tag,,
19-IR,2.1495,1.7852,roobois,,,
19-R,1.9112,1.0541,green,,,
19-R,2.1275,1.7389,roobois,,,
2-DT,1.9456,0.9464,green,,,
2-DT,2.0818,1.1394,roobois,ripped,,
2-FD,2.1085,0.8539,green,ripped,,
2-FD,2.063,1.4639,roobois,,,
2-IR,1.8395,0.9938,green,,,
2-IR,2.1544,1.5961,roobois,ripped,,
2-R,1.9118,1.0799,green,,,
2-R,2.0677,1.78,roobois,,,
20-DT,1.8563,1.0048,green,,,
20-DT,2.1283,1.7596,roobois,ripped,replaced tag,
20-FD,1.7938,1.1327,green,ripped,,
20-FD,2.1502,1.7095,roobois,,,
20-IR,2.0157,1.0574,green,,,
20-IR,2.1448,1.9103,roobois,,,
20-R,1.8147,1.0429,green,,,
20-R,2.1746,1.9332,roobois,replaced tag,,
21-DT,2.0277,1.0707,green,"21FD labelled twice, assume one bag is this based on slightly lower initial weights",,
21-DT,2.1011,1.6553,roobois,,,
21-FD,2.0222,1.0904,green,labelled twice,1.0707,
21-FD,2.121,1.7237,roobois,labelled twice,1.6553,replaced tag
21-IR,1.9902,1.065,green,replaced tag,,
21-IR,2.2249,1.7969,roobois,,,
21-R,1.9487,1.1466,green,,,
21-R,2.1632,1.8334,roobois,,,
22-DT,2.0414,1.1346,green,,,
22-DT,2.1688,1.8797,roobois,,,
22-FD,1.9897,,green,,,
22-FD,2.1169,1.8549,roobois,,,
22-IR,1.9153,1.0944,green,replaced tag,,
22-IR,2.1054,1.8105,roobois,,,
22-R,1.8964,1.0084,green,,,
22-R,2.1298,1.7942,roobois,replaced tag,,
23-DT,1.9667,1.1585,green,,,
23-DT,2.0979,1.3053,roobois,,,
23-FD,1.9075,0.9727,green,,,
23-FD,2.1147,1.6566,roobois,,,
23-IR,1.7964,1.026,green,,,
23-IR,2.1268,1.4907,roobois,,,
23-R,1.9433,0.9617,green,,,
23-R,2.2292,1.5483,roobois,,,
24-DT,2.009,1.5445,green,,,
24-DT,2.1354,1.8665,roobois,,,
24-FD,1.9122,1.0199,green,replaced tag,,
24-FD,2.2246,1.9685,roobois,,,
24-IR,1.9555,1.0455,green,,,
24-IR,2.1303,1.7064,roobois,,,
24-R,2.0469,1.0825,green,,,
24-R,2.1771,1.8445,roobois,,,
25-DT,2.0259,,green,labelled twice,1.235,repleced tag
25-DT,2.1567,1.8159,roobois,replaced tag,1.4812,
25-FD,1.9646,,green,,,
25-FD,2.1683,,roobois,,,
25-IR,1.9593,1.1462,green,,,
25-IR,2.1629,1.7046,roobois,,,
25-R,2.0645,1.1592,green,roots,,
25-R,2.224,1.7053,roobois,roots,,
26-DT,2.0642,1.0226,green,ripped,,
26-DT,2.1188,1.8073,roobois,replaced tag,,
26-FD,1.9666,1.0428,green,,,
26-FD,2.1806,1.916,roobois,,,
26-IR,1.9305,1.1211,green,,,
26-IR,2.1608,1.7835,roobois,,,
26-R,2.0607,1.0732,green,replaced tag,,
26-R,2.1389,1.8032,roobois,,,
27-DT,1.8207,1.0534,green,,,
27-DT,2.1151,,roobois,,,
27-FD,1.9305,1.1068,green,,,
27-FD,2.1199,1.5708,roobois,,,
27-IR,2.0017,1.1154,green,,,
27-IR,2.1274,1.7456,roobois,,,
27-R,1.8263,1.141,green,small rips,,
27-R,2.1577,1.594,roobois,small rips,,
28-DT,1.9332,,green,,,
28-DT,2.1222,1.683,roobois,,,
28-FD,1.934,1.0795,green,ripped,,
28-FD,2.0996,1.1767,roobois,replaced tag,,
28-IR,1.9758,1.2,green,,,
28-IR,2.2104,1.9829,roobois,,,
28-R,1.9367,1.1132,green,,,
28-R,2.1548,1.7387,roobois,,,
29-DT,1.979,1.1584,green,,,
29-DT,2.1319,1.8392,roobois,,,
29-FD,1.9684,1.0833,green,,,
29-FD,2.1336,1.8565,roobois,,,
29-IR,1.913,1.1199,green,,,
29-IR,2.1316,1.8495,roobois,,,
29-R,2.0561,1.1907,green,,,
29-R,2.1573,1.8658,roobois,,,
3-DT,2.111,0.98,green,replaced tag,,
3-DT,2.0877,1.8072,roobois,,,
3-FD,2.0731,1.1457,green,,,
3-FD,2.1491,1.7343,roobois,replaced tag,,
3-IR,1.9944,1.222,green,,,
3-IR,2.1798,1.8963,roobois,,,
3-R,1.9995,1.0967,green,,,
3-R,2.1718,1.8011,roobois,,,
30-DT,1.8534,1.1394,green,,,
30-DT,2.1105,1.9619,roobois,,,
30-FD,2.0235,1.1364,green,,,
30-FD,2.1965,1.7689,roobois,,,
30-IR,1.9151,1.023,green,replaced tag,,
30-IR,2.1859,1.9456,roobois,,,
30-R,1.901,1.0431,green,,,
30-R,2.1305,1.9531,roobois,,,
31-DT,2.0207,1.132,green,,,
31-DT,2.2169,,roobois,,,
31-FD,1.9338,,green,,,
31-FD,2.1564,1.836,roobois,replaced tag,,
31-IR,1.9331,1.1565,green,,,
31-IR,2.1383,1.7174,roobois,replaced tag,,
31-R,2.0418,1.222,green,,,
31-R,2.1545,1.8963,roobois,,,
32-DT,1.8746,1.024,green,,,
32-DT,2.1369,1.838,roobois,,,
32-FD,2.0151,1.2493,green,,,
32-FD,2.1994,1.8925,roobois,,,
32-IR,1.9029,1.1727,green,,,
32-IR,2.1081,1.8191,roobois,,,
32-R,1.8479,1.1137,green,,,
32-R,2.1312,1.2685,roobois,,,
33-DT,1.9375,,green,,,
33-DT,2.1918,,roobois,,,
33-FD,1.9681,1.0653,green,,,
33-FD,2.1271,1.8557,roobois,,,
33-IR,1.9224,1.0591,green,,,
33-IR,2.1971,1.8232,roobois,,,
33-R,2.0261,1.1147,green,,,
33-R,2.1918,1.4827,roobois,,,
34-DT,1.9109,1.8741,green,,,
34-DT,2.1972,,roobois,,,
34-FD,1.9847,1.3183,green,,,
34-FD,2.2046,1.9026,roobois,,,
34-IR,2.0172,0.9249,green,,,
34-IR,2.1574,1.89,roobois,replaced tag,,
34-R,2.0487,1.0534,green,,,
34-R,2.144,1.8526,roobois,ripped,,
35-DT,1.9599,1.0173,green,replaced tag,,
35-DT,2.144,1.879,roobois,,,
35-FD,1.9631,1.033,green,,,
35-FD,2.1312,1.8278,roobois,,,
35-IR,1.8187,1.0091,green,,,
35-IR,2.2499,1.8455,roobois,,,
35-R,1.8762,0.9704,green,,,
35-R,2.1173,1.6859,roobois,,,
36-DT,1.9742,1.1603,green,,,
36-DT,2.0996,1.7638,roobois,,,
36-FD,1.948,1.0604,green,,,
36-FD,2.1074,1.8722,roobois,,,
36-IR,1.8783,1.0902,green,,,
36-IR,2.0885,1.7814,roobois,,,
36-R,1.9109,0.9927,green,,,
36-R,2.0267,1.7758,roobois,,,
37-DT,1.984,1.0574,green,,,
37-DT,2.1244,,roobois,,,
37-FD,2.0663,1.1211,green,,,
37-FD,2.1076,1.6739,roobois,replaced tag,small rip,
37-IR,2.0187,1.0866,green,ripped,,
37-IR,2.1305,1.5744,roobois,,,
37-R,1.0131,,green,,,
37-R,2.1407,1.8096,roobois,,,
38-DT,1.0563,1.1521,green,replaced tag,,
38-DT,2.1373,1.4897,roobois,ripped,,
38-FD,1.9001,1.1279,green,,,
38-FD,2.0512,,roobois,,,
38-IR,2.0006,,green,,,
38-IR,2.1615,,roobois,,,
38-R,1.9076,1.0698,green,,,
38-R,2.0899,1.1747,roobois,bad ripped,,
39-DT,1.9776,,green,,,
39-DT,2.0511,1.4014,roobois,ripped,,
39-FD,2.026,,green,,,
39-FD,2.1311,1.8604,roobois,,,
39-IR,1.9405,1.1792,green,,,
39-IR,2.1951,1.7087,roobois,small rip,,
39-R,2.0618,,green,,,
39-R,2.1322,,roobois,,,
4-DT,2.0713,1.0552,green,,,
4-DT,2.1069,1.7766,roobois,replaced tag,,
4-FD,1.8447,1.0326,green,,,
4-FD,2.1357,1.4605,roobois,ripped,,
4-IR,1.9324,1.1128,green,,,
4-IR,2.1619,1.8577,roobois,,,
4-R,1.8456,1.0476,green,replaced tag,,
4-R,2.0983,2.2543,roobois,,,
40-DT,2.0217,,green,,,
40-DT,2.0412,1.7462,roobois,,,
40-FD,1.878,1.0527,green,,,
40-FD,2.1595,1.7662,roobois,,,
40-IR,2.0361,1.066,green,,,
40-IR,2.1001,1.8973,roobois,,,
40-R,1.9255,1.1146,green,,,
40-R,2.0408,1.9078,roobois,,,
41-DT,1.8427,0.9843,green,,,
41-DT,2.1787,1.8825,roobois,,,
41-FD,1.9664,1.0865,green,,,
41-FD,2.0794,1.6728,roobois,,,
41-IR,1.9773,1.1438,green,,,
41-IR,2.1821,1.8108,roobois,,,
41-R,1.9886,1.1019,green,,,
41-R,2.1059,1.838,roobois,,,
42-DT,1.9988,,green,,,
42-DT,2.1381,1.7871,roobois,replaced tag,,
42-FD,1.8602,1.0516,green,,,
42-FD,2.1466,1.7759,roobois,replaced tag,,
42-IR,1.9592,1.0683,green,,,
42-IR,2.18,1.6662,roobois,replaced tag,,
42-R,1.8789,1.0528,green,,,
42-R,2.1209,1.8136,roobois,replaced tag,,
43-DT,1.9453,1.03,green,replaced tag,,
43-DT,2.1121,1.8061,roobois,,,
43-FD,2.0782,0.9151,green,,,
43-FD,2.1191,1.6238,roobois,,,
43-IR,1.9382,1.0171,green,,,
43-IR,2.1973,,roobois,,,
43-R,2.0111,1.1277,green,replaced tag,,
43-R,2.1672,1.8296,roobois,,,
44-DT,1.9542,1.0847,green,,,
44-DT,2.1647,1.8968,roobois,,,
44-FD,1.9174,1.0243,green,,,
44-FD,2.1771,1.8391,roobois,,,
44-IR,1.9198,1.0588,green,,,
44-IR,2.1364,1.5208,roobois,,,
44-R,1.9809,1.0693,green,,,
44-R,2.1796,1.9152,roobois,,,
45-DT,1.8339,0.9952,green,,,
45-DT,2.1214,,roobois,,,
45-FD,1.8481,1.0151,green,,,
45-FD,2.1129,1.8439,roobois,,,
45-IR,1.9234,4.0554,green,replaced tag,,
45-IR,2.1216,1.7196,roobois,replaced tag,,
45-R,1.7506,0.977,green,,,
45-R,2.1202,1.7995,roobois,replaced tag,,
46-DT,1.9332,0.9929,green,,,
46-DT,2.1506,1.6294,roobois,replaced tag,,
46-FD,2.043,1.1864,green,,,
46-FD,2.1551,1.3948,roobois,ripped,,
46-IR,1.8692,1.1128,green,,,
46-IR,2.0775,1.7244,roobois,replaced tag,,
46-R,1.9916,1.0022,green,,,
46-R,2.0627,1.7796,roobois,ripped,,
47-DT,1.8536,0.962,green,,,
47-DT,2.1221,1.7342,roobois,,,
47-FD,1.9094,1.0259,green,,,
47-FD,2.1382,1.7113,roobois,,,
47-IR,1.8683,1.1688,green,,,
47-IR,2.1478,1.904,roobois,,,
47-R,1.9607,1.0459,green,,,
47-R,2.1464,1.8328,roobois,,,
48-DT,2.0441,1.1466,green,,,
48-DT,2.1713,1.6105,roobois,,,
48-FD,1.849,1.1968,green,,,
48-FD,2.1106,1.658,roobois,,,
48-IR,1.916,1.0188,green,,,
48-IR,2.0993,1.8938,roobois,replaced tag,,
48-R,1.9192,1.1776,green,,,
48-R,2.1816,1.8561,roobois,,,
49-DT,1.9156,1.1168,green,,,
49-DT,2.0964,1.4841,roobois,,,
49-FD,1.8839,1.0194,green,,,
49-FD,2.1758,1.7279,roobois,,,
49-IR,1.895,1.0026,green,,,
49-IR,2.1362,1.7528,roobois,,,
49-R,1.9734,0.9619,green,,,
49-R,2.1403,,roobois,,,
5-DT,1.8773,1.1711,green,,,
5-DT,2.0448,1.82,roobois,,,
5-FD,1.8689,1.1187,green,,,
5-FD,2.098,1.3528,roobois,,,
5-IR,1.8559,1.0424,green,,,
5-IR,2.1054,,roobois,,,
5-R,1.8696,1.0815,green,,,
5-R,2.0909,1.9711,roobois,,,
50-DT,1.8154,0.9196,green,,,
50-DT,2.1298,1.8467,roobois,ripped,,
50-FD,1.9334,1.494,green,,,
50-FD,2.1681,1.8819,roobois,,,
50-IR,2.0385,1.0339,green,,,
50-IR,2.1078,1.7302,roobois,,,
50-R,1.9149,0.9589,green,replaced tag,,
50-R,2.1594,1.9309,roobois,,,
51-DT,1.8017,1.0618,green,roots,,
51-DT,2.0587,1.4375,roobois,roots,,
51-FD,1.9154,0.8913,green,,,
51-FD,2.0928,1.7671,roobois,ripped,,
51-IR,2.0711,1.2375,green,,,
51-IR,2.1258,1.6099,roobois,,,
51-R,1.948,1.0668,green,,,
51-R,2.1339,1.7605,roobois,replaced tag,,
52-DT,1.9046,1.1211,green,,,
52-DT,2.1344,1.693,roobois,,,
52-FD,1.9927,1.0096,green,,,
52-FD,2.1457,1.6919,roobois,,,
52-IR,1.9491,0.9336,green,,,
52-IR,2.1625,,roobois,,,
52-R,1.986,1.0618,green,,,
52-R,2.0934,,roobois,,,
53-DT,2.0385,1.0303,green,,,
53-DT,2.1287,1.8038,roobois,,,
53-FD,1.9874,1.1571,green,,,
53-FD,2.1657,1.1463,roobois,ripped bad,,
53-IR,2.0828,,green,,,
53-IR,2.1312,1.8014,roobois,,,
53-R,2.0038,1.0687,green,,,
53-R,2.2756,1.916,roobois,,,
54-DT,1.89,,green,,,
54-DT,2.1631,2.0774,roobois,ripped,,
54-FD,2.1347,1.0124,green,,,
54-FD,2.185,1.0818,roobois,ripped ,roots,
54-IR,1.9242,1.0764,green,replaced tag,,
54-IR,2.1729,1.8894,roobois,,,
54-R,1.8876,1.032,green,replaced tag,,
54-R,2.0813,1.8138,roobois,,,
55-DT,1.9366,,green,,,
55-DT,2.1656,1.6106,roobois,ripped,,
55-FD,1.8358,1.0868,green,replaced tag,,
55-FD,2.1723,1.6633,roobois,,,
55-IR,2.0229,1.019,green,,,
55-IR,2.1096,1.5214,roobois,ripped,,
55-R,1.9685,0.9947,green,replaced tag,roots,
55-R,2.1452,,roobois,open,,
56-DT,1.9441,1.1064,green,replaced tag,,
56-DT,2.1527,,roobois,,,
56-FD,1.8734,1.072,green,replaced tag,,
56-FD,2.206,1.6441,roobois,,,
56-IR,2.0466,1.1549,green,,,
56-IR,2.1577,1.8018,roobois,,,
56-R,1.8496,0.946,green,,,
56-R,2.0596,,roobois,,,
57-DT,1.9227,1.0101,green,,,
57-DT,2.1327,2.192,roobois,,,
57-FD,1.969,1.012,green,,,
57-FD,2.2016,1.6645,roobois,,,
57-IR,1.9583,,green,,,
57-IR,2.184,1.6988,roobois,ripped,,
57-R,1.9128,1.176,green,,,
57-R,2.1453,,roobois,,,
58-DT,2.0761,1.1093,green,,,
58-DT,2.1766,0.7886,roobois,lots roots,,
58-FD,1.9929,0.9818,green,,,
58-FD,2.1236,1.871,roobois,,,
58-IR,1.9441,1.0262,green,,,
58-IR,2.1761,1.8525,roobois,,,
58-R,1.99,1.0937,green,roots,,
58-R,2.1512,1.5581,roobois,ripped,replaced tag,
59-DT,1.9452,1.1014,green,,,
59-DT,2.1221,1.6361,roobois,,,
59-FD,1.9283,0.9978,green,,,
59-FD,2.1591,,roobois,,,
59-IR,2.0159,,green,,,
59-IR,2.1558,1.8516,roobois,,,
59-R,1.9775,1.0973,green,,,
59-R,2.1489,1.802,roobois,,,
6-DT,1.8433,1.14,green,,,
6-DT,2.1616,1.8705,roobois,replaced tag,,
6-FD,1.7998,1.0089,green,,,
6-FD,2.1672,1.8619,roobois,,,
6-IR,1.8399,1.0751,green,,,
6-IR,2.1243,1.8458,roobois,,,
6-R,1.9174,1.0151,green,,,
6-R,2.1078,1.8358,roobois,,,
60-DT,1.8956,1.0592,green,,,
60-DT,2.0992,1.5163,roobois,,,
60-FD,2.085,,green,,,
60-FD,2.1441,1.5881,roobois,,,
60-IR,1.876,0.937,green,,,
60-IR,2.0705,1.7662,roobois,,,
60-R,2.0118,1.0153,green,,,
60-R,2.0949,1.7824,roobois,,,
61-DT,2.0958,1.1247,green,,,
61-DT,2.1433,1.8134,roobois,,,
61-FD,1.996,1.0062,green,,,
61-FD,2.0838,1.8202,roobois,,,
61-IR,1.7149,0.9752,green,replaced tag,,
61-IR,2.1313,1.8126,roobois,ripped,,
61-R,2.0214,1.0831,green,,,
61-R,2.0175,1.7856,roobois,,,
62-DT,1.8854,1.0559,green,,,
62-DT,2.0984,1.8856,roobois,,,
62-FD,1.9462,1.0608,green,,,
62-FD,2.0918,1.7922,roobois,,,
62-IR,2.0843,1.1025,green,,,
62-IR,2.1009,1.7646,roobois,replaced tag,,
62-R,1.8465,0.997,green,,,
62-R,2.156,1.7535,roobois,,,
63-DT,1.9858,1.0139,green,,,
63-DT,2.1252,1.7954,roobois,,,
63-FD,1.9124,0.9896,green,,,
63-FD,2.1111,1.7386,roobois,,,
63-IR,2.0036,1.0907,green,,,
63-IR,2.1414,1.8428,roobois,,,
63-R,1.9835,0.9966,green,,,
63-R,2.0932,1.8799,roobois,,,
64-DT,1.9754,0.9864,green,,,
64-DT,2.1246,1.7749,roobois,,,
64-FD,1.9584,0.9927,green,ripped,,
64-FD,2.1177,1.7879,roobois,ripped,,
64-IR,1.9377,1.0112,green,,,
64-IR,2.1338,1.8153,roobois,,,
64-R,1.8545,1.0612,green,,,
64-R,2.0721,1.3571,roobois,,,
7-DT,1.9379,0.9959,green,,,
7-DT,2.1002,1.7907,roobois,,,
7-FD,1.9714,,green,,,
7-FD,2.1291,,roobois,,,
7-IR,1.9379,1.1546,green,,,
7-IR,2.1861,1.957,roobois,,,
7-R,1.9797,1.0267,green,,,
7-R,2.181,1.6341,roobois,ripped,,
8-DT,1.8986,,green,,,
8-DT,2.1491,,roobois,,,
8-FD,1.8724,1.1035,green,,,
8-FD,2.1758,1.7429,roobois,,,
8-IR,1.9052,1.0663,green,,,
8-IR,2.1714,1.8884,roobois,,,
8-R,1.8592,1.131,green,,,
8-R,2.1806,1.7911,roobois,replaced tag,,
9-DT,1.9483,1.1779,green,,,
9-DT,2.1712,1.9023,roobois,,,
9-FD,1.716,0.9866,green,,,
9-FD,2.1005,1.8588,roobois,,,
9-IR,1.9237,1.0376,green,,,
9-IR,2.0581,1.7757,roobois,,,
9-R,1.8741,0.9695,green,,,
9-R,2.0998,1.7259,roobois,replaced tag,,
